"id", "url", "version", "name", "title"
"us-core-pregnancy-intent", "http://hl7.org/fhir/us/core/ValueSet/us-core-pregnancy-intent", "6.1.0", "USCorePregnancyIntentCodes", "US Core Pregnancy Intent Codes"
"us-core-pregnancy-status", "http://hl7.org/fhir/us/core/ValueSet/us-core-pregnancy-status", "6.1.0", "USCorePregnancyStatusCodes", "US Core Pregnancy Status Codes"
"us-core-problem-or-health-concern", "http://hl7.org/fhir/us/core/ValueSet/us-core-problem-or-health-concern", "6.1.0", "USCoreProblemOrHealthConcern", "US Core Problem or Health Concern"
"us-core-procedure-code", "http://hl7.org/fhir/us/core/ValueSet/us-core-procedure-code", "6.1.0", "USCoreProcedureCodes", "US Core Procedure Codes"
"us-core-provenance-participant-type", "http://hl7.org/fhir/us/core/ValueSet/us-core-provenance-participant-type", "6.1.0", "USCoreProvenancePaticipantTypeCodes", "US Core Provenance Participant Type Codes"
"us-core-screening-assessment-condition-category", "http://hl7.org/fhir/us/core/ValueSet/us-core-screening-assessment-condition-category", "6.1.0", "USCoreScreeningAssessmentConditionCategory", "US Core Screening Assessment Condition Category"
"us-core-screening-assessment-observation-category", "http://hl7.org/fhir/us/core/ValueSet/us-core-screening-assessment-observation-category", "6.1.0", "USCoreScreeningAssessmentObservationCategory", "US Core Screening Assessment Observation Category"
"us-core-servicerequest-category", "http://hl7.org/fhir/us/core/ValueSet/us-core-servicerequest-category", "6.1.0", "USCoreServiceRequestCategoryCodes", "US Core ServiceRequest Category Codes"
"us-core-sexual-orientation", "http://hl7.org/fhir/us/core/ValueSet/us-core-sexual-orientation", "6.1.0", "USCoreSexualOrientation", "US Core Sexual Orientation"
"us-core-simple-observation-category", "http://hl7.org/fhir/us/core/ValueSet/us-core-simple-observation-category", "6.1.0", "USCoreSimpleObservationCategory", "US Core Simple Observation Category"
"us-core-smoking-status-observation-codes", "http://hl7.org/fhir/us/core/ValueSet/us-core-smoking-status-observation-codes", "6.1.0", "USCoreSmokingStatusObservationCodes", "US Core Smoking Status Observation Codes"
"us-core-survey-codes", "http://hl7.org/fhir/us/core/ValueSet/us-core-survey-codes", "6.1.0", "USCoreSurveyCodes", "US Core Survey Codes"
"us-core-usps-state", "http://hl7.org/fhir/us/core/ValueSet/us-core-usps-state", "6.1.0", "UspsTwoLetterAlphabeticCodes", "USPS Two Letter Alphabetic Codes"
"us-core-vital-signs", "http://hl7.org/fhir/us/core/ValueSet/us-core-vital-signs", "6.1.0", "UsCoreVitalSigns", "US Core Vital Signs ValueSet"
"v3-ActPharmacySupplyType", "http://terminology.hl7.org/ValueSet/v3-ActPharmacySupplyType", "2.0.0", "ActPharmacySupplyType", "ActPharmacySupplyType"
"v3-NativeEntityAlaska", "http://terminology.hl7.org/ValueSet/v3-NativeEntityAlaska", "2.0.0", "NativeEntityAlaska", "NativeEntityAlaska"
"v3-NativeEntityContiguous", "http://terminology.hl7.org/ValueSet/v3-NativeEntityContiguous", "2.0.0", "NativeEntityContiguous", "NativeEntityContiguous"
"v3-Race", "http://terminology.hl7.org/ValueSet/v3-Race", "2.0.0", "Race", "Race"
"v3-RaceAsian", "http://terminology.hl7.org/ValueSet/v3-RaceAsian", "2.0.0", "RaceAsian", "RaceAsian"
"v3-RaceBlackOrAfricanAmerican", "http://terminology.hl7.org/ValueSet/v3-RaceBlackOrAfricanAmerican", "2.0.0", "RaceBlackOrAfricanAmerican", "RaceBlackOrAfricanAmerican"
"v3-RaceHawaiianOrPacificIsland", "http://terminology.hl7.org/ValueSet/v3-RaceHawaiianOrPacificIsland", "2.0.0", "RaceHawaiianOrPacificIsland", "RaceHawaiianOrPacificIsland"
"v3-RaceNativeAmerican", "http://terminology.hl7.org/ValueSet/v3-RaceNativeAmerican", "2.0.0", "RaceNativeAmerican", "RaceNativeAmerican"
"v3-RaceWhite", "http://terminology.hl7.org/ValueSet/v3-RaceWhite", "2.0.0", "RaceWhite", "RaceWhite"
"v3-TribalEntityUS", "http://terminology.hl7.org/ValueSet/v3-TribalEntityUS", "2.0.0", "TribalEntityUS", "TribalEntityUS"
